City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nome,US,64.5011,-165.4064,49.15,93,90,8.05,light rain
1,Glyadyanskoye,RU,54.9075,65.0883,56.98,59,76,5.82,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,76.89,67,25,3.85,scattered clouds
3,Vanimo,PG,-2.6741,141.3028,75.96,84,10,4.68,clear sky
4,New Norfolk,AU,-42.7826,147.0587,53.1,81,98,3.0,light rain
5,Nantucket,US,41.2835,-70.0995,83.25,85,1,11.5,clear sky
6,Winnemucca,US,40.973,-117.7357,93.25,15,1,4.61,haze
7,Albany,US,42.6001,-73.9662,86.58,53,1,1.99,clear sky
8,Picsi,PE,-6.7178,-79.7697,73.24,64,40,9.22,scattered clouds
9,Mersing,MY,2.4312,103.8405,78.12,89,70,6.93,broken clouds
10,Clyde River,CA,70.4692,-68.5914,39.43,93,90,9.22,overcast clouds
11,At-Bashi,KG,41.1702,75.8106,64.87,41,2,1.68,clear sky
12,Ribeira Grande,PT,38.5167,-28.7,79.2,61,20,16.11,few clouds
13,Mataura,NZ,-46.1927,168.8643,42.48,98,91,2.95,overcast clouds
14,Kapaa,US,22.0752,-159.319,82.72,80,40,3.0,scattered clouds
15,Vaini,TO,-21.2,-175.2,75.45,77,77,9.53,light rain
16,Riyadh,SA,24.6877,46.7219,102.74,12,24,9.13,few clouds
17,Grado,ES,43.388,-6.0743,71.08,76,75,3.44,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,42.12,75,99,12.97,overcast clouds
19,Jamestown,US,42.097,-79.2353,83.3,62,11,9.62,few clouds
20,Port Hardy,CA,50.6996,-127.4199,58.24,94,99,2.39,light rain
21,Narsaq,GL,60.9167,-46.05,66.42,50,44,3.56,scattered clouds
22,Nhulunbuy,AU,-12.2333,136.7667,72.21,88,88,3.44,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,47.93,69,100,8.61,overcast clouds
24,Butaritari,KI,3.0707,172.7902,82.33,73,95,7.52,overcast clouds
25,Coihaique,CL,-45.5752,-72.0662,44.55,57,20,5.75,few clouds
26,Lazaro Cardenas,MX,17.9583,-102.2,87.13,67,62,4.09,broken clouds
27,Busselton,AU,-33.65,115.3333,57.09,68,55,32.73,broken clouds
28,Saint-Philippe,RE,-21.3585,55.7679,67.59,80,62,11.77,light rain
29,Saint-Francois,FR,46.4154,3.9054,76.17,56,0,8.05,clear sky
30,Roald,NO,62.5833,6.1333,76.12,77,0,11.5,clear sky
31,Taltal,CL,-25.4,-70.4833,62.17,65,2,6.33,clear sky
32,Ushuaia,AR,-54.8,-68.3,37.02,84,97,4.0,light rain
33,Pitimbu,BR,-7.4706,-34.8086,82.99,71,3,12.91,clear sky
34,Pingzhuang,CN,42.0372,119.2889,72.0,88,100,5.95,overcast clouds
35,Kodiak,US,57.79,-152.4072,53.35,85,16,2.33,few clouds
36,Tasiilaq,GL,65.6145,-37.6368,51.96,81,13,5.37,few clouds
37,Avarua,CK,-21.2078,-159.775,73.45,94,75,4.61,light rain
38,Namatanai,PG,-3.6667,152.4333,78.21,79,40,2.48,scattered clouds
39,Maceio,BR,-9.6658,-35.7353,78.24,73,75,14.97,broken clouds
40,Jacareacanga,BR,-6.2222,-57.7528,97.12,23,100,3.91,overcast clouds
41,Ipueiras,BR,-7.0333,-40.45,89.4,29,4,11.65,clear sky
42,Marawi,PH,7.9986,124.2928,72.64,88,100,5.35,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,66.56,55,95,11.01,overcast clouds
44,Dunedin,NZ,-45.8742,170.5036,48.79,66,100,21.0,overcast clouds
45,Carutapera,BR,-1.195,-46.02,82.99,67,78,8.25,broken clouds
46,Kununurra,AU,-15.7667,128.7333,64.38,88,92,0.0,overcast clouds
47,Hobart,AU,-42.8794,147.3294,53.46,84,90,1.99,light intensity shower rain
48,Vao,NC,-22.6667,167.4833,68.9,60,82,16.49,broken clouds
49,Sterling,US,39.0062,-77.4286,94.28,49,75,3.0,broken clouds
50,Thompson,CA,55.7435,-97.8558,70.83,22,0,6.04,clear sky
51,Klaksvik,FO,62.2266,-6.589,52.72,99,100,7.18,overcast clouds
52,Quito,EC,-0.2299,-78.5249,61.75,52,52,3.69,light rain
53,Bulolo,PG,-7.2,146.65,67.41,97,69,2.15,broken clouds
54,Rikitea,PF,-23.1203,-134.9692,73.54,74,36,17.83,scattered clouds
55,Whittlesea,ZA,-32.1759,26.8244,48.27,26,98,7.92,overcast clouds
56,Yoichi,JP,43.2039,140.7703,64.78,72,54,2.82,broken clouds
57,Hermanus,ZA,-34.4187,19.2345,59.56,69,28,3.18,scattered clouds
58,Carnarvon,AU,-24.8667,113.6333,71.67,84,90,13.8,overcast clouds
59,Victoria,HK,22.2855,114.1577,88.32,86,98,1.99,overcast clouds
60,Saint George,US,37.1041,-113.5841,89.8,50,1,3.0,clear sky
61,East London,ZA,-33.0153,27.9116,65.17,33,100,7.52,overcast clouds
62,Airai,TL,-8.9266,125.4092,55.31,66,27,2.44,scattered clouds
63,Roanoke Rapids,US,36.4615,-77.6542,91.2,89,75,6.91,broken clouds
64,Bluff,NZ,-46.6,168.3333,42.8,78,79,17.0,broken clouds
65,Athens,GR,37.9795,23.7162,86.18,21,0,7.0,clear sky
66,Saskylakh,RU,71.9167,114.0833,45.1,89,49,2.73,scattered clouds
67,Sturgeon Falls,CA,46.3646,-79.9326,77.9,55,20,5.82,few clouds
68,Josefina,PH,8.2,123.5333,71.04,94,100,3.15,overcast clouds
69,Bambanglipuro,ID,-7.95,110.2833,74.53,85,82,4.38,broken clouds
70,Luderitz,NA,-26.6481,15.1594,67.35,46,1,9.13,clear sky
71,Atuona,PF,-9.8,-139.0333,77.52,70,55,25.08,broken clouds
72,Moose Factory,CA,51.2585,-80.6094,60.35,58,75,6.89,broken clouds
73,Mahebourg,MU,-20.4081,57.7,66.25,79,21,11.43,light rain
74,Hackettstown,US,40.854,-74.8291,90.37,58,100,4.61,overcast clouds
75,Barrow,US,71.2906,-156.7887,44.62,98,90,9.22,light rain
76,Upernavik,GL,72.7868,-56.1549,45.81,63,100,4.59,overcast clouds
77,Chapais,CA,49.7834,-74.8492,64.18,90,93,11.5,overcast clouds
78,Yeniseysk,RU,58.4497,92.1703,66.61,70,98,4.36,overcast clouds
79,Paita,PE,-5.0892,-81.1144,79.36,70,21,13.15,few clouds
80,Provideniya,RU,64.3833,-173.3,48.11,99,100,3.04,overcast clouds
81,Cherskiy,RU,68.75,161.3,39.51,74,1,8.61,clear sky
82,Yar-Sale,RU,66.8333,70.8333,47.97,81,43,4.76,scattered clouds
83,Meulaboh,ID,4.1363,96.1285,78.33,85,89,4.59,overcast clouds
84,Makakilo City,US,21.3469,-158.0858,79.12,69,90,0.0,overcast clouds
85,Port Alfred,ZA,-33.5906,26.891,65.55,36,100,10.8,overcast clouds
86,Zhangye,CN,38.9342,100.4517,76.69,29,95,7.34,overcast clouds
87,Nazilli,TR,37.9163,28.3223,84.09,26,0,5.91,clear sky
88,Ponta Delgada,PT,37.7333,-25.6667,74.12,68,75,16.11,broken clouds
89,Wahiawa,US,21.5028,-158.0236,77.32,75,90,0.0,overcast clouds
90,Kulhudhuffushi,MV,6.6221,73.07,81.93,76,93,9.82,light rain
91,Poya,NC,-21.35,165.15,62.37,78,73,6.55,broken clouds
92,Nelson Bay,AU,-32.7167,152.15,54.68,82,24,13.35,few clouds
93,Dikson,RU,73.5069,80.5464,41.56,91,92,4.61,overcast clouds
94,Karratha,AU,-20.7377,116.8463,70.41,68,49,8.16,scattered clouds
95,Castro,BR,-24.7911,-50.0119,72.18,42,7,8.77,clear sky
96,Mandan,US,46.8267,-100.8896,93.18,48,1,13.8,clear sky
97,Venice,US,27.0998,-82.4543,92.16,75,75,9.22,broken clouds
98,Torbay,CA,47.6666,-52.7314,67.28,80,81,1.99,broken clouds
99,Sioux Lookout,CA,50.1001,-91.917,78.42,31,47,10.09,scattered clouds
100,Mikkeli,FI,61.6886,27.2723,77.11,47,0,0.0,clear sky
101,Khatanga,RU,71.9667,102.5,58.64,69,74,12.06,broken clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,43.95,77,98,6.26,overcast clouds
103,Vardo,NO,70.3705,31.1107,48.4,93,40,17.27,scattered clouds
104,Port Elizabeth,ZA,-33.918,25.5701,68.09,34,100,9.1,overcast clouds
105,Broome,US,42.2506,-75.833,86.18,49,40,3.0,scattered clouds
106,Loreto,MX,22.2667,-101.9667,76.41,26,83,7.25,broken clouds
107,Qaanaaq,GL,77.484,-69.3632,44.49,54,89,9.71,overcast clouds
108,Mehamn,NO,71.0357,27.8492,46.58,80,23,4.0,few clouds
109,Sydney,AU,-33.8679,151.2073,54.34,79,0,4.0,clear sky
110,Hilo,US,19.7297,-155.09,73.8,94,90,0.0,moderate rain
111,Careiro Da Varzea,BR,-3.2003,-59.8119,90.23,39,90,3.33,overcast clouds
112,Faanui,PF,-16.4833,-151.75,78.58,72,54,13.56,broken clouds
113,Ballater,GB,57.0493,-3.0402,71.29,76,77,1.99,broken clouds
114,Samoded,RU,63.6083,40.5111,49.32,65,8,7.96,clear sky
115,Grand-Lahou,CI,5.1367,-5.0242,77.23,79,70,11.12,broken clouds
116,Shimoda,JP,34.6667,138.95,73.11,86,97,6.93,overcast clouds
117,Kavieng,PG,-2.5744,150.7967,80.53,77,9,5.57,light rain
118,Severo-Kurilsk,RU,50.6789,156.125,56.21,94,88,7.05,overcast clouds
119,Tunduma,TZ,-9.3,32.7667,48.36,69,15,7.94,few clouds
120,Mar Del Plata,AR,-38.0023,-57.5575,54.09,63,37,5.99,scattered clouds
121,Porto Walter,BR,-8.2686,-72.7439,93.85,36,68,2.3,broken clouds
122,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.84,22,42,4.0,scattered clouds
123,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.4,88,100,13.29,overcast clouds
124,Idenao,CM,4.2475,9.0047,75.67,87,86,3.6,overcast clouds
125,Aklavik,CA,68.2191,-135.0107,48.42,94,100,3.27,light rain
126,Caravelas,BR,-17.7125,-39.2481,76.77,62,2,7.31,clear sky
127,Fairbanks,US,64.8378,-147.7164,65.1,75,75,1.99,broken clouds
128,Aquiraz,BR,-3.9014,-38.3911,87.22,55,47,11.48,scattered clouds
129,Petropavl,KZ,54.8753,69.1628,56.41,57,75,7.99,broken clouds
130,Tarnogskiy Gorodok,RU,60.4997,43.5761,57.49,97,88,5.55,overcast clouds
131,Yulara,AU,-25.2406,130.9889,44.44,45,11,3.44,few clouds
132,Lebu,CL,-37.6167,-73.65,49.68,64,11,16.89,few clouds
133,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,68,0,16.89,clear sky
134,Cape Town,ZA,-33.9258,18.4232,62.35,68,20,8.37,few clouds
135,Sao Filipe,CV,14.8961,-24.4956,75.78,78,71,7.4,broken clouds
136,Petrivka,UA,46.9695,30.9591,80.44,33,2,4.81,clear sky
137,Chokurdakh,RU,70.6333,147.9167,35.62,88,81,11.54,broken clouds
138,Olga,RU,43.7444,135.2892,68.83,98,75,2.48,broken clouds
139,Kogon,UZ,39.7228,64.5517,94.64,25,0,13.8,clear sky
140,Asau,RO,46.4333,26.4,74.32,69,43,2.89,scattered clouds
141,Guerrero Negro,MX,27.9769,-114.0611,77.18,57,1,8.34,clear sky
142,Bud,US,39.447,-86.1758,89.92,45,0,5.82,clear sky
143,Ambon,ID,-3.6954,128.1814,77.99,84,48,5.61,scattered clouds
144,Waingapu,ID,-9.6567,120.2641,72.37,82,30,5.95,scattered clouds
145,Antipovka,RU,49.8299,45.3122,71.47,40,11,9.22,few clouds
146,Samarai,PG,-10.6167,150.6667,77.77,85,100,17.18,overcast clouds
147,Tiksi,RU,71.6872,128.8694,38.59,90,99,11.23,overcast clouds
148,Suzun,RU,53.7841,82.3116,59.79,75,73,10.38,broken clouds
149,Buala,SB,-8.145,159.5921,77.85,89,100,7.76,moderate rain
150,Porbandar,IN,21.6422,69.6093,82.17,86,90,18.57,overcast clouds
151,Tarauaca,BR,-8.1614,-70.7656,97.32,32,9,2.64,clear sky
152,Kondagaon,IN,19.6,81.6667,74.05,87,100,8.41,light rain
153,Sayaxche,GT,16.5167,-90.1667,91.65,44,12,2.01,few clouds
154,Batemans Bay,AU,-35.7167,150.1833,55.2,62,98,8.28,overcast clouds
155,Bredasdorp,ZA,-34.5322,20.0403,56.3,52,52,5.55,broken clouds
156,Canavieiras,BR,-15.675,-38.9472,74.88,79,25,5.28,scattered clouds
157,Nanortalik,GL,60.1432,-45.2371,51.85,69,68,9.53,broken clouds
158,Souillac,MU,-20.5167,57.5167,66.36,82,31,11.16,light rain
159,Harper,LR,4.375,-7.7169,77.49,75,79,11.77,broken clouds
160,Bollnas,SE,61.3482,16.3946,73.38,55,84,6.35,broken clouds
161,Neyshabur,IR,36.2133,58.7958,86.22,24,0,16.64,clear sky
162,Esperance,AU,-33.8667,121.9,58.48,75,68,30.29,broken clouds
163,Suntar,RU,62.1444,117.6319,68.29,59,15,3.62,few clouds
164,Palana,RU,59.1167,159.9667,49.53,98,100,19.66,light rain
165,Saint-Denis,FR,48.9167,2.3333,74.28,70,90,5.75,overcast clouds
166,Maldonado,UY,-34.6667,-54.9167,53.22,69,21,11.95,few clouds
167,Sovetskiy,RU,61.3614,63.5842,52.92,84,27,3.65,scattered clouds
168,Saldanha,ZA,-33.0117,17.9442,57.06,73,5,7.38,clear sky
169,Verin,ES,41.9415,-7.4381,80.56,47,0,9.15,clear sky
170,Visby,SE,57.6409,18.296,75.42,57,0,10.36,clear sky
171,Grindavik,IS,63.8424,-22.4338,51.57,87,90,14.97,overcast clouds
172,Castrolibero,IT,39.3081,16.1944,85.68,40,17,2.95,few clouds
173,Chuy,UY,-33.6971,-53.4616,54.88,74,100,12.88,overcast clouds
174,Depok,ID,-6.4,106.8186,79.63,77,7,3.11,clear sky
175,Ostrovnoy,RU,68.0531,39.5131,46.31,88,100,23.24,overcast clouds
176,Mason City,US,43.1536,-93.201,89.1,47,1,13.8,clear sky
177,Pevek,RU,69.7008,170.3133,35.96,88,84,11.18,broken clouds
178,Veraval,IN,20.9,70.3667,81.16,85,74,13.85,broken clouds
179,Bull Savanna,JM,17.8868,-77.5902,84.47,64,84,13.09,broken clouds
180,Cidreira,BR,-30.1811,-50.2056,63.59,91,99,5.93,light rain
181,Steinkjer,NO,64.193,11.3851,77.94,50,10,2.77,clear sky
182,Codrington,AU,-38.2667,141.9667,47.95,79,93,15.7,overcast clouds
183,Rio Grande,BR,-32.035,-52.0986,57.31,97,100,9.13,moderate rain
184,Ancud,CL,-41.8697,-73.8203,47.73,61,40,7.63,scattered clouds
185,Khanpur,PK,28.6453,70.6567,99.03,40,92,21.12,moderate rain
186,Biggar,GB,55.6167,-3.5167,73.18,84,71,6.44,broken clouds
187,Rio Gallegos,AR,-51.6226,-69.2181,41.25,76,60,25.57,broken clouds
188,Soltsy,RU,58.1239,30.3238,68.07,65,3,4.47,clear sky
189,Puerto Ayora,EC,-0.7393,-90.3518,75.54,79,81,8.99,broken clouds
190,Marystown,CA,47.1666,-55.1483,64.85,100,71,7.0,broken clouds
191,Kungurtug,RU,50.5994,97.5228,55.2,89,89,1.52,overcast clouds
192,Bethel,US,41.3712,-73.414,89.73,54,1,1.99,clear sky
193,Khuzhir,RU,53.1939,107.3397,57.81,68,5,5.84,clear sky
194,Aksay,RU,47.26,39.87,83.25,29,74,8.01,broken clouds
195,Marsh Harbour,BS,26.5412,-77.0636,83.8,70,8,9.64,clear sky
196,Tommot,RU,58.9564,126.2925,57.88,84,0,3.11,clear sky
197,Walvis Bay,NA,-22.9575,14.5053,70.09,50,0,12.64,clear sky
198,Chicama,PE,-7.8447,-79.1469,66.74,61,24,10.8,few clouds
199,Norman Wells,CA,65.282,-126.8329,56.08,74,100,8.93,overcast clouds
200,Grand Gaube,MU,-20.0064,57.6608,66.38,84,3,1.99,clear sky
201,Hithadhoo,MV,-0.6,73.0833,81.18,78,65,9.17,broken clouds
202,Aitape,PG,-3.1374,142.3475,76.51,88,12,3.27,few clouds
203,Mobaye,CF,4.319,21.1786,70.99,98,98,3.96,moderate rain
204,Laguna,US,38.421,-121.4238,91.63,42,1,11.5,clear sky
205,Teya,RU,60.3778,92.6267,72.46,57,58,3.44,broken clouds
206,Leningradskiy,RU,69.3833,178.4167,38.34,88,95,2.51,overcast clouds
207,Viljoenskroon,ZA,-27.2084,26.9485,45.86,31,10,3.85,clear sky
208,Inuvik,CA,68.3499,-133.7218,49.62,78,100,2.44,overcast clouds
209,Oistins,BB,13.0667,-59.5333,83.08,68,82,15.03,broken clouds
210,Chebsara,RU,59.2002,38.8356,65.53,80,91,5.3,overcast clouds
211,Ballina,AU,-28.8667,153.5667,48.78,71,53,4.61,broken clouds
212,Tromso,NO,69.6496,18.957,70.45,87,20,9.22,fog
213,Novoorsk,RU,51.381,58.9813,62.76,52,35,6.26,scattered clouds
214,Maxixe,MZ,-23.8597,35.3472,64.35,75,36,7.47,scattered clouds
215,Erzin,TR,36.9559,36.2,84.72,76,0,3.76,clear sky
216,Beringovskiy,RU,63.05,179.3167,52.65,93,100,5.26,overcast clouds
217,Shakawe,BW,-18.3667,21.85,55.69,34,2,6.62,clear sky
218,Lorengau,PG,-2.0226,147.2712,80.89,76,46,2.95,scattered clouds
219,Bandarbeyla,SO,9.4942,50.8122,77.92,77,53,28.72,broken clouds
220,Provins,FR,48.5833,3.1667,72.91,77,72,7.7,broken clouds
221,Sinegorye,RU,62.0788,150.477,45.64,96,100,2.82,light rain
222,Kondinskoye,RU,59.6481,67.41,58.06,62,98,7.4,overcast clouds
223,Mackay,AU,-21.15,149.2,54.05,72,18,5.7,few clouds
224,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,39,0,19.57,clear sky
225,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,61,0,19.57,clear sky
226,Qeshm,IR,26.9581,56.2719,96.67,70,1,9.19,clear sky
227,Deputatskiy,RU,69.3,139.9,46.06,86,100,4.65,overcast clouds
228,Ajdabiya,LY,30.7554,20.2263,84.51,43,0,23.24,clear sky
229,Kovur,IN,14.4833,79.9833,91.08,44,99,15.21,overcast clouds
230,Chhuikhadan,IN,21.5333,80.9833,79.5,76,97,11.18,heavy intensity rain
231,Zhangjiakou,CN,40.81,114.8794,67.24,81,100,5.06,overcast clouds
